Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
ACER,NOTEBOOK,15.6,1366x768,2.0,4.0,1024.0,Intel HD Graphics 520,WINDOWS 10,2.1,23816.16
DELL,GAMING,15.6,1920x1080,2.8,16.0,512.0,Nvidia GeForce GTX 1050,WINDOWS 10,2.56,66560.57
DELL,GAMING,15.6,1920x1080,2.8,8.0,1024.0,Nvidia GeForce GTX 1050,WINDOWS 10,2.62,47898.72
LENOVO,NOTEBOOK,15.6,1366x768,2.5,4.0,128.0,Intel HD Graphics 620,WINDOWS 10,1.9,26533.44
MSI,GAMING,17.3,1920x1080,2.8,16.0,1280.0,Nvidia GeForce GTX 1060,WINDOWS 10,2.8,100699.2
HP,ULTRABOOK,14.0,1920x1080,2.7,4.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.48,57648.96
HP,NOTEBOOK,15.6,1920x1080,1.6,6.0,256.0,AMD Radeon 520,WINDOWS 10,1.91,32980.32
LENOVO,2 IN 1 CONVERTIBLE,14.0,1920x1080,2.4,4.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.74,33513.12
ASUS,2 IN 1 CONVERTIBLE,13.3,1920x1080,1.6,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.1,70063.2
DELL,2 IN 1 CONVERTIBLE,15.6,1920x1080,1.8,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.56,55890.72
TOSHIBA,NOTEBOOK,15.6,1366x768,2.2,4.0,500.0,Intel HD Graphics 520,WINDOWS 10,2.1,23816.16
ASUS,NOTEBOOK,15.6,1366x768,3.0,4.0,1024.0,AMD Radeon R5 M420,WINDOWS 10,2.03,21471.84
ACER,NOTEBOOK,17.3,1920x1080,1.6,4.0,256.0,Nvidia GeForce MX150,WINDOWS 10,3.0,42890.4
DELL,NOTEBOOK,15.6,1920x1080,1.6,8.0,256.0,AMD Radeon 520,WINDOWS 10,2.13,38787.84
LENOVO,GAMING,15.6,1920x1080,2.8,16.0,256.0,Nvidia GeForce GTX 1050 Ti,WINDOWS 10,2.5,57489.12
ACER,NOTEBOOK,15.6,1366x768,1.1,4.0,1024.0,Intel HD Graphics 500,WINDOWS 10,2.1,18541.44
MSI,GAMING,15.6,1920x1080,2.8,16.0,1280.0,Nvidia GeForce GTX 1060,WINDOWS 10,2.4,95850.72
ACER,NOTEBOOK,15.6,1366x768,1.1,4.0,1024.0,Intel HD Graphics 505,WINDOWS 10,2.1,19367.81
DELL,GAMING,15.6,1920x1080,2.8,8.0,1152.0,Nvidia GeForce GTX 1050,WINDOWS 10,2.56,56502.91
ACER,NOTEBOOK,17.3,1920x1080,1.6,8.0,256.0,Nvidia GeForce MX150,WINDOWS 10,3.0,45501.12
HP,NOTEBOOK,13.3,1920x1080,1.6,4.0,500.0,Intel UHD Graphics 620,WINDOWS 10,1.49,40173.12
HUAWEI,ULTRABOOK,13.0,2160x1440,2.5,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.05,71874.72
HP,NOTEBOOK,17.3,1920x1080,2.5,6.0,2048.0,AMD Radeon 520,WINDOWS 10,2.71,37242.72
LENOVO,NOTEBOOK,15.6,1366x768,2.9,4.0,500.0,AMD Radeon R4 Graphics,NO OS,2.2,16463.52
TOSHIBA,NOTEBOOK,15.6,1366x768,2.4,4.0,500.0,Intel HD Graphics 620,WINDOWS 10,2.0,26053.92
HP,NOTEBOOK,17.3,1920x1080,1.6,8.0,256.0,Nvidia GeForce 930MX,WINDOWS 10,2.5,49177.44
DELL,NOTEBOOK,15.6,1366x768,2.4,8.0,1024.0,Intel HD Graphics 620,WINDOWS 10,2.3,24455.52
ACER,NOTEBOOK,15.6,1366x768,2.0,4.0,128.0,Intel HD Graphics 520,WINDOWS 10,2.1,23922.72
MSI,GAMING,18.4,1920x1080,2.9,32.0,1536.0,Nvidia GTX 980 SLI,WINDOWS 10,4.4,149130.72
LENOVO,NOTEBOOK,15.6,1920x1080,2.5,8.0,1152.0,AMD R17M-M1-70,WINDOWS 10,1.9,43316.64
HP,2 IN 1 CONVERTIBLE,13.3,3840x2160,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.29,79866.72
DELL,NOTEBOOK,15.6,1920x1080,1.8,16.0,2304.0,AMD Radeon 530,LINUX,2.02,55890.72
DELL,ULTRABOOK,13.3,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.23,74538.72
LENOVO,2 IN 1 CONVERTIBLE,13.9,3840x2160,1.8,16.0,512.0,Intel UHD Graphics 620,WINDOWS 10,1.4,98514.72
TOSHIBA,NOTEBOOK,15.6,1366x768,2.5,8.0,128.0,Intel HD Graphics 620,WINDOWS 10,2.0,42251.04
XIAOMI,NOTEBOOK,15.6,1920x1080,1.6,8.0,256.0,Nvidia GeForce MX150,NO OS,1.95,63882.72
DELL,NOTEBOOK,17.3,1920x1080,1.8,16.0,512.0,Nvidia GeForce 150MX,WINDOWS 10,2.77,82530.72
DELL,NOTEBOOK,15.6,3840x2160,2.8,16.0,512.0,Nvidia GeForce GTX 1050,WINDOWS 10,2.06,127712.16
LENOVO,GAMING,15.6,1920x1080,2.5,8.0,256.0,Nvidia GeForce GTX 1050,NO OS,2.4,41505.12
ACER,ULTRABOOK,13.3,1920x1080,1.2,8.0,256.0,Intel HD Graphics 615,WINDOWS 10,1.12,52693.92
DELL,NOTEBOOK,17.3,1920x1080,1.8,8.0,1152.0,AMD Radeon 530,WINDOWS 10,2.8,57808.8
LENOVO,2 IN 1 CONVERTIBLE,14.0,2560x1440,2.7,16.0,1024.0,Intel HD Graphics 620,WINDOWS 10,1.42,150462.72
VERO,NOTEBOOK,14.0,1920x1080,1.1,4.0,32.0,Intel HD Graphics 500,WINDOWS 10,1.3,13852.8
XIAOMI,ULTRABOOK,13.3,1920x1080,2.5,8.0,256.0,Nvidia GeForce MX150,NO OS,1.3,53274.67
LENOVO,NOTEBOOK,17.3,1600x900,1.6,8.0,256.0,Nvidia GeForce MX150,NO OS,2.8,37189.44
DELL,2 IN 1 CONVERTIBLE,13.3,1920x1080,1.8,8.0,1024.0,Intel UHD Graphics 620,WINDOWS 10,1.62,44701.92
HP,NOTEBOOK,17.3,1920x1080,1.6,8.0,1024.0,Nvidia GeForce 930MX,WINDOWS 10,2.5,48697.92
RAZER,GAMING,17.3,3840x2160,2.9,32.0,1024.0,Nvidia GeForce GTX 1080,WINDOWS 10,3.49,324954.72
HP,NOTEBOOK,13.3,1920x1080,1.6,8.0,512.0,Intel UHD Graphics 620,WINDOWS 10,1.49,51095.52
HP,GAMING,17.3,1920x1080,2.8,16.0,1280.0,Nvidia GeForce GTX 1050,WINDOWS 10,3.35,73473.12
HP,NOTEBOOK,17.3,1920x1080,1.8,8.0,256.0,Nvidia GeForce 930MX ,WINDOWS 10,2.5,55677.6
DELL,GAMING,15.6,3840x2160,2.8,16.0,1536.0,Nvidia GeForce GTX 1060,WINDOWS 10,2.65,98301.6
LENOVO,NOTEBOOK,15.6,1366x768,2.3,4.0,128.0,Intel HD Graphics 520,WINDOWS 10,2.1,26267.04
ACER,NOTEBOOK,15.6,1920x1080,2.7,8.0,1024.0,Nvidia GeForce 940MX,WINDOWS 10,2.23,39533.76
LENOVO,GAMING,15.6,1920x1080,2.8,16.0,1536.0,Nvidia GeForce GTX 1060,WINDOWS 10,3.2,93186.72
DELL,WORKSTATION,15.6,3840x2160,3.0,16.0,1280.0,Nvidia Quadro M1200,WINDOWS 10,2.8,162770.4
LENOVO,GAMING,15.6,1920x1080,2.8,16.0,512.0,Nvidia GeForce GTX 1060,NO OS,2.4,74485.44
DELL,NOTEBOOK,15.6,1366x768,2.4,6.0,1024.0,Intel HD Graphics 620,WINDOWS 10,2.3,23389.92
DELL,ULTRABOOK,13.3,3840x2160,1.8,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.21,103842.72
DELL,ULTRABOOK,13.3,1920x1080,1.8,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.2,77202.72
